text;label
BỘ GIÁO DỤC VÀ ĐÀO TẠO CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM  TRƯỜNG ĐẠI HỌC CÀN THƠ độc lập - tự do - hạnh phúc số 2445 /HD-ĐHCT cần thơ, ngày 19 tháng 8 năm 2023  HƯỚNG DẪN chuyển sang học một chương;__label__Dao_tao
sang học một chương trình, một ngành đào tạo khác đối với sinh viên từ khóa 47 trở về sau của trường đại học cần thơ căn cứ thông tư số 08/2021/TT-BGDĐT ngày 18 tháng 03 năm 2021 của bộ trưởng bộ;__label__Dao_tao
của bộ trưởng bộ giáo dục và đào tạo ban hành quy chế đào tạo trình độ đại học căn cứ quy định công tác học vụ dành cho sinh viên trình độ đại học hệ chính quy và các văn bản hiện hành của trường;__label__Dao_tao
hành của trường trường đại học cần thơ ĐHCT hướng dẫn về việc chuyển sang học một chương trình, một ngành đào tạo khác được áp dụng đối với sinh viên hệ chính quy từ khóa 47 trở về sau như sau  đối;__label__Dao_tao
về sau như sau  đối tượng áp dụng hướng dẫn này được áp dụng đối với sinh viên hệ chính quy từ khóa 47 tuyển sinh năm 2021 trở về sau đang theo học tại trường ĐHCT có nguyện vọng chuyển sang học một;__label__Dao_tao
chuyển sang học một chương trình, một ngành đào tạo khác do trường ĐHCT tổ chức đào tạo.  điều kiện xét chuyển sang học một chương trình, một ngành đào tạo khác căn cứ quy chế đào tạo hiện hành, sinh;__label__Dao_tao
tạo hiện hành, sinh viên từ khóa 47 trở về sau được xem xét chuyển sang học một chương trình, một ngành đào tạo khác khi có đủ các điều kiện sau sinh viên không đang là sinh viên trình độ năm thứ;__label__Dao_tao
trình độ năm thứ nhất hoặc năm cuối khóa, cụ thể khối lượng tín chỉ tích lũy được của chương trình đào tạo CTĐT mà sinh viên đang theo học đạt từ 36 tín chỉ đến 105 tín chỉ đối với CTĐT có thời gian;__label__Dao_tao
CTĐT có thời gian thiết kế là 4 năm từ 36 tín chỉ đến 124 tín chỉ đối với CTĐT có thời gian thiết kế là 4,5 năm từ 36 tín chỉ đến 142 tín chỉ đối với CTĐT có thời gian thiết kế là 5 năm. sinh viên;__label__Dao_tao
là 5 năm. sinh viên không thuộc diện bị xem xét buộc thôi học. sinh viên còn đủ thời gian học tập theo quy định công tác học vụ của trường. thời gian học tập tối đa còn lại để sinh viên hoàn thành;__label__Dao_tao
viên hoàn thành CTĐT khi được chuyển sang học CTĐT khác là thời gian học tập tối đa của CTĐT được chuyển sang học trừ đi thời gian đã theo học các CTĐT trước khi chuyển sang CTĐT khác. ví dụ sinh;__label__Dao_tao
khác. ví dụ sinh viên đã học xong năm thứ 3 của CTĐT có thời gian thiết kế là 4,5 năm, khi được chuyển sang học CTĐT có thời gian thiết kế là 4 năm thì thời gian học tập tối đa còn lại là 5 năm. sinh;__label__Dao_tao
lại là 5 năm. sinh viên đạt điều kiện trúng tuyển của chương trình, ngành đào tạo chuyển sang học trong cùng khóa tuyển sinh. chương trình, ngành đào tạo đáp ứng đủ các điều kiện bảo đảm chất lượng,;__label__Dao_tao
bảo đảm chất lượng, chưa vượt quá năng lực đào tạo theo quy định hiện hành của bộ giáo dục và đào tạo. trường hợp số lượng sinh viên đăng ký chuyển sang một chương trình, một ngành đào tạo nhiều hơn;__label__Dao_tao
đào tạo nhiều hơn số lượng sinh viên có thể được phép chuyển sang học chương trình, ngành đào tạo đó trong cùng khóa tuyển sinh vượt quá năng lực đào tạo thì xem xét đến điều kiện phụ để xét chọn cho;__label__Dao_tao
phụ để xét chọn cho đến khi đủ chỉ tiêu đã xác định trong năm tuyển sinh, theo nguyên tắc được sắp xếp theo thứ tự từ cao đến thấp là điểm trung bình chung tích lũy của CTĐT hiện đang theo học.;__label__Dao_tao
